icd10_concept_id,code_heading,icd10_code,icd10_vocab,description,body_system,progressive,snomed_concept_id,snomed_code,snomed_name
35207083,E84,E84.8,ICD10CM,Cystic fibrosis with other manifestations,pulmonary/respiratory,yes,194325,190909002,Cystic fibrosis with intestinal manifestations
45576477,E84,E84.9,ICD10,"Cystic fibrosis, unspecified",pulmonary/respiratory,yes,441267,190905008,Cystic fibrosis
35207084,E84,E84.9,ICD10CM,"Cystic fibrosis, unspecified",pulmonary/respiratory,yes,441267,190905008,Cystic fibrosis
45562095,G4730,G47.30,ICD10CM,"Sleep apnea, unspecified",pulmonary/respiratory,no,313459,73430006,Sleep apnea
45581498,G4731,G47.31,ICD10CM,Primary central sleep apnea,pulmonary/respiratory,no,43022069,9741000119101,Primary central sleep apnea
45552539,G4733,G47.33,ICD10CM,Obstructive sleep apnea (adult) (pediatric),pulmonary/respiratory,no,442588,78275009,Obstructive sleep apnea syndrome
45605558,G4734,G47.34,ICD10CM,Idiopathic sleep related nonobstructive alveolar hypoventilation,pulmonary/respiratory,no,40481299,441910000,Idiopathic sleep related non-obstructive alveolar hypoventilation
45595947,G4735,G47.35,ICD10CM,Congenital central alveolar hypoventilation syndrome,pulmonary/respiratory,yes,319793,399040002,Congenital central hypoventilation
45581499,G4736,G47.36,ICD10CM,Sleep related hypoventilation in conditions classified elsewhere,pulmonary/respiratory,no,40483220,443760008,Sleep hypoventilation
45576591,G4737,G47.37,ICD10CM,Central sleep apnea in conditions classified elsewhere,pulmonary/respiratory,no,439794,27405005,Central sleep apnea syndrome
45600793,G4739,G47.39,ICD10CM,Other sleep apnea,pulmonary/respiratory,no,313459,73430006,Sleep apnea
45605258,C0,C05.0,ICD10,Malignant neoplasm of hard palate,malignancy,n/a,4180787,363387004,Malignant tumor of hard palate
35205460,A179,A17.9,ICD10CM,"Tuberculosis of nervous system, unspecified",neurological,yes,374267,10706006,Tuberculosis of central nervous system
45595576,A180,A18.01,ICD10CM,Tuberculosis of spine,musculoskeletal,no,81496,35984006,Tuberculosis of vertebral column
45595693,C7,C7A.098,ICD10CM,Malignant carcinoid tumors of other sites,malignancy,n/a,40481907,443492008,Carcinoid tumor
45595577,A180,A18.02,ICD10CM,Tuberculous arthritis of other joints,musculoskeletal,no,4098475,190710003,Tuberculous arthritis
45585901,A180,A18.03,ICD10CM,Tuberculosis of other bones,musculoskeletal,no,80626,38279006,Tuberculosis of bone
45557250,G589,G58.9,ICD10,"Mononeuropathy, unspecified",neurological,no,4134455,128189008,Mononeuropathy
35207444,G589,G58.9,ICD10CM,"Mononeuropathy, unspecified",neurological,no,4134455,128189008,Mononeuropathy
45585902,A180,A18.09,ICD10CM,Other musculoskeletal tuberculosis,musculoskeletal,no,434557,56717001,Tuberculosis
45581266,C96,C96.A,ICD10CM,Histiocytic sarcoma,malignancy,n/a,4002494,109988003,Histiocytic sarcoma
