concept_id,concept_name,concept_code,vocabulary_id
41033710,Enalapril 10 MG Oral Tablet [Enalapril Abz] Box of 50,OMOP2231672,RxNorm Extension
40939723,Felodipine 2.5 MG / Ramipril 2.5 MG Oral Tablet [Unimax] Box of 30,OMOP2137685,RxNorm Extension
21062919,Lisinopril 5 MG Oral Tablet by Ranbaxy,OMOP373622,RxNorm Extension
21149048,Enalapril 2.5 MG Oral Tablet Box of 28 by Tillomed,OMOP292266,RxNorm Extension
40165774,Enalapril Maleate 20 MG Oral Tablet [Renitec],858845,RxNorm
43211622,Enalapril 20 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [ENALAPRIL/HYDROCHLOROTHIAZIDE E],OMOP446740,RxNorm Extension
19103788,24 HR trandolapril 2 MG / Verapamil hydrochloride 180 MG Extended Release Oral Capsule,411759,RxNorm
40942448,Captopril 25 MG Oral Tablet [Captogamma],OMOP2140410,RxNorm Extension
41281810,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Basics] Box of 100,OMOP2479772,RxNorm Extension
43744041,Hydrochlorothiazide 12.5 MG / Lisinopril 10 MG Oral Tablet [Lisinopril Hct Aaa],OMOP789153,RxNorm Extension
43199331,Ramipril 5 MG Oral Tablet [RAMIPRIL ZYDUS FRANCE] Box of 30,OMOP464217,RxNorm Extension
41324436,Captopril 50 MG / Hydrochlorothiazide 25 MG Oral Tablet [Capozide] Box of 50 by Kohlpharma,OMOP2522398,RxNorm Extension
41292093,Enalapril 10 MG Oral Tablet [Enadura] Box of 100 by Mylan,OMOP2490055,RxNorm Extension
40854418,imidapril 20 MG Oral Tablet [Tanatril] Box of 50 by Gerke,OMOP2052380,RxNorm Extension
41175618,Hydrochlorothiazide / Ramipril Oral Tablet [Triatec Plus Eup],OMOP2373580,RxNorm Extension
41293475,benazepril 20 MG / Hydrochlorothiazide 25 MG Oral Tablet Box of 42 by Sanofi,OMOP2491437,RxNorm Extension
41293480,benazepril 10 MG Oral Tablet [Cibacen] Box of 28 by Emra-Med,OMOP2491442,RxNorm Extension
43182590,Indapamide 0.625 MG / Perindopril 1.67 MG Oral Tablet [Perindopril Indapamid Ratiopharm] Box of 90,OMOP480346,RxNorm Extension
21035865,Cilazapril 5 MG Oral Tablet by Genesis,OMOP253226,RxNorm Extension
40942451,Captopril 25 MG Oral Tablet [Capto Lichtenstein] Box of 100,OMOP2140413,RxNorm Extension
41011238,Enalapril 5 MG Oral Tablet [Enal] Box of 30 by 1 A,OMOP2209200,RxNorm Extension
41169119,benazepril 5 MG Oral Tablet [Benazepril Hexal] Box of 28 by Novartis,OMOP2367081,RxNorm Extension
21102128,trandolapril 1 MG Oral Capsule Box of 28 by Alliance,OMOP372889,RxNorm Extension
21043293,quinapril 20 MG Oral Tablet [Accupro] by Pfizer,OMOP373979,RxNorm Extension
36265144,Ramipril 5 MG Oral Tablet [Tritace] Box of 28,OMOP3116019,RxNorm Extension
41064837,Enalapril 5 MG Oral Tablet [Ena Abz] Box of 50,OMOP2262799,RxNorm Extension
41291361,Hydrochlorothiazide 12.5 MG / Lisinopril 20 MG Oral Tablet [Lisilich] Box of 100 by Sanofi,OMOP2489323,RxNorm Extension
21050869,Enalapril 10 MG Oral Tablet by Sandoz,OMOP292628,RxNorm Extension
21132189,Captopril 50 MG Oral Tablet by Actavis,OMOP386406,RxNorm Extension
41316865,Captopril 25 MG Oral Tablet [Captopress] Box of 20,OMOP2514827,RxNorm Extension
40880101,Captopril 12.5 MG Oral Tablet [Captopril Al] Box of 30,OMOP2078063,RxNorm Extension
41129905,Captopril 12.5 MG Oral Tablet [Captopril Actavis] Box of 98,OMOP2327867,RxNorm Extension
40906122,Lisinopril 20 MG Oral Tablet [Lisibeta] Box of 100,OMOP2104084,RxNorm Extension
21031060,Perindopril 4 MG Oral Tablet by Mylan,OMOP270165,RxNorm Extension
21092256,Ramipril 5 MG Oral Capsule by Phoenix Labs,OMOP373058,RxNorm Extension
41074727,Captopril 50 MG Oral Tablet [Captopril Atid] Box of 100 by Dexcel-Pharma,OMOP2272689,RxNorm Extension
43155771,Lisinopril 20 MG Oral Tablet Box of 84,OMOP499896,RxNorm Extension
40876449,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Sk] Box of 20,OMOP2074411,RxNorm Extension
43261583,Lisinopril Oral Tablet [Zinopril],OMOP536738,RxNorm Extension
43149439,Perindopril 3.5 MG Oral Tablet [PERINDOPRIL EVOLUGEN],OMOP480207,RxNorm Extension
43587907,moexipril Oral Tablet [Fempress],OMOP690219,RxNorm Extension
40942427,Captopril 50 MG Oral Tablet [Epicordin],OMOP2140389,RxNorm Extension
40868665,Captopril 12.5 MG Oral Tablet Box of 50,OMOP2066627,RxNorm Extension
21111992,Lisinopril 5 MG Oral Tablet by A A H,OMOP373623,RxNorm Extension
43820861,Ramipril 5 MG Oral Tablet [Ramigamma],OMOP670747,RxNorm Extension
21161128,Ramipril 10 MG Oral Capsule Box of 28 by Ennogen,OMOP372962,RxNorm Extension
41216460,Perindopril 2 MG Oral Tablet [Coversum] Box of 50,OMOP2414422,RxNorm Extension
44127078,Ramipril 15 MG Oral Capsule [Jamp-Ramipril] by Jamp,OMOP1121709,RxNorm Extension
41133603,piretanide 6 MG / Ramipril 5 MG Oral Tablet [Prilace] Box of 50 by Kohlpharma,OMOP2331565,RxNorm Extension
21161135,Ramipril 5 MG Oral Tablet Box of 28 by Generics,OMOP373159,RxNorm Extension
41316871,Captopril 25 MG Oral Tablet [Capto Isis] Box of 100,OMOP2514833,RxNorm Extension
41135755,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Triatec Plus Kohlpharma] Box of 100 by Kohlpharma,OMOP2333717,RxNorm Extension
43293166,Captopril 50 MG Oral Tablet [Zedace] Box of 90,OMOP573546,RxNorm Extension
40947587,Lisinopril 20 MG Oral Tablet [Acerbon] Box of 98 by Kohlpharma,OMOP2145549,RxNorm Extension
41148232,Hydrochlorothiazide 25 MG / Ramipril 5 MG Oral Tablet Box of 30,OMOP2346194,RxNorm Extension
21092992,Captopril 50 MG Oral Tablet by Accord,OMOP386393,RxNorm Extension
