concept_id,concept_name,concept_code,vocabulary_id
40856457,candesartan 32 MG Oral Tablet [Blopress] Box of 98 by Eurim-Pharm,OMOP2054419,RxNorm Extension
40939723,Felodipine 2.5 MG / Ramipril 2.5 MG Oral Tablet [Unimax] Box of 30,OMOP2137685,RxNorm Extension
41324522,candesartan 4 MG Oral Tablet [Blopress] Box of 100 by Takeda,OMOP2522484,RxNorm Extension
36884001,Amlodipine 13.9 MG / olmesartan 40 MG Oral Tablet,OMOP997184,RxNorm Extension
41010541,Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet Box of 28 by 1 A,OMOP2208503,RxNorm Extension
43172885,telmisartan 80 MG Oral Tablet [TELMISARTAN CRISTERS] Box of 90,OMOP491180,RxNorm Extension
44186294,Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Irbesartan Fair Med] Box of 98 by Fair-Med,OMOP3063017,RxNorm Extension
40981022,candesartan 32 MG Oral Tablet [Candesartan Stada] Box of 98 by Stada,OMOP2178984,RxNorm Extension
41281875,Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [Losartan Biomo],OMOP2479837,RxNorm Extension
21161223,irbesartan 75 MG Oral Tablet by Kent,OMOP374734,RxNorm Extension
41035875,candesartan 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [CANDESARTAN ACTAVIS] Box of 28,OMOP2233837,RxNorm Extension
43150944,candesartan 4 MG Oral Tablet [CANDESARTAN CRISTERS] Box of 90,OMOP493205,RxNorm Extension
43624090,candesartan 4 MG Oral Tablet [Candesartan Basics] by Basics,OMOP695131,RxNorm Extension
40950407,Amlodipine 13.9 MG / valsartan 160 MG Oral Tablet [Dafiro] Box of 56 by Novartis,OMOP2148369,RxNorm Extension
41285554,candesartan 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Hytacand Plus Ac] Box of 98,OMOP2483516,RxNorm Extension
43167913,candesartan / Hydrochlorothiazide Oral Tablet [CANDESARTAN/HYDROCHLOROTHIAZIDE RANBAXY],OMOP447570,RxNorm Extension
44108073,valsartan Oral Tablet [VALSARTAN MYLAN],OMOP1102704,RxNorm Extension
41126098,Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [VALSARTAN RATIOPHARM] Box of 56,OMOP2324060,RxNorm Extension
21121722,irbesartan 150 MG Oral Tablet [Aprovel] Box of 28 by Dowelhurst,OMOP374633,RxNorm Extension
44167883,candesartan 8 MG Oral Tablet [Candegamma] Box of 28 by AAA-Pharma,OMOP3044606,RxNorm Extension
41007052,valsartan 160 MG Oral Tablet [Provas] Box of 28 by UCB,OMOP2205014,RxNorm Extension
41291324,Hydrochlorothiazide 25 MG / Ramipril 5 MG Oral Tablet [Ramipril Eumann] Box of 50 by Norispharm,OMOP2489286,RxNorm Extension
41281810,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Basics] Box of 100,OMOP2479772,RxNorm Extension
21060096,candesartan 2 MG Oral Tablet by Sigma-Tau,OMOP350923,RxNorm Extension
41175618,Hydrochlorothiazide / Ramipril Oral Tablet [Triatec Plus Eup],OMOP2373580,RxNorm Extension
43678292,Losartan 50 MG Oral Tablet [Losartan Abz],OMOP691777,RxNorm Extension
40916800,Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet Box of 56 by Heumann,OMOP2114762,RxNorm Extension
40981037,candesartan 4 MG Oral Tablet [Candesartan Aurobindo] Box of 98 by Aurobindo,OMOP2178999,RxNorm Extension
21062966,irbesartan 150 MG Oral Tablet by Dr Reddys',OMOP374585,RxNorm Extension
40849033,candesartan 8 MG Oral Tablet [Cande Q] Box of 98,OMOP2046995,RxNorm Extension
40849001,candesartan 8 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Blopress] Box of 98,OMOP2046963,RxNorm Extension
40981027,candesartan 16 MG Oral Tablet [Candesartan Heumann] Box of 56 by Heumann,OMOP2178989,RxNorm Extension
44034429,irbesartan 150 MG Oral Tablet [Pms-Irbesartan],OMOP1029060,RxNorm Extension
41257163,telmisartan 80 MG Oral Tablet [Micardis] Box of 98 by Boehringer Ingelheim,OMOP2455125,RxNorm Extension
44174717,olmesartan 10 MG Oral Tablet [Olmesartan 1a Phar] Box of 56 by 1 A,OMOP3051440,RxNorm Extension
