concept_id,concept_name,concept_code,vocabulary_id,drug_group
40232343,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],1050814,RxNorm,amlodipine
40232329,aliskiren / Amlodipine / Hydrochlorothiazide Oral Tablet [Amturnide],1050801,RxNorm,amlodipine
40232330,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050798,RxNorm,amlodipine
40232339,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050809,RxNorm,amlodipine
40232337,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],1050808,RxNorm,amlodipine
40232336,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet,1050806,RxNorm,amlodipine
40232333,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050803,RxNorm,amlodipine
40232328,aliskiren / Amlodipine / Hydrochlorothiazide Oral Tablet,1050796,RxNorm,amlodipine
40232342,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet,1050812,RxNorm,amlodipine
40232340,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050811,RxNorm,amlodipine
40232331,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050802,RxNorm,amlodipine
40232334,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050805,RxNorm,amlodipine
40226372,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet,1009247,RxNorm,amlodipine
40226366,aliskiren / Amlodipine Oral Tablet,1009218,RxNorm,amlodipine
40226375,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet,1009220,RxNorm,amlodipine
40226368,aliskiren / Amlodipine Oral Tablet [Tekamlo],1009252,RxNorm,amlodipine
40226376,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],1009253,RxNorm,amlodipine
40226395,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],1009324,RxNorm,amlodipine
40226373,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],1009249,RxNorm,amlodipine
40226394,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet,1009320,RxNorm,amlodipine
40226392,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],1009319,RxNorm,amlodipine
40226391,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet,1009315,RxNorm,amlodipine
36221767,aliskiren / Amlodipine / Hydrochlorothiazide Pill,1164880,RxNorm,amlodipine
40232343,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],1050814,RxNorm,amlodipine
36217708,Amlodipine / Hydrochlorothiazide / olmesartan Oral Product,1152277,RxNorm,amlodipine
40167844,Amlodipine 10 MG / telmisartan 40 MG Oral Tablet [Twynsta],876518,RxNorm,amlodipine
36222120,Azor Oral Product,1166087,RxNorm,amlodipine
40008978,Amlodipine Oral Tablet,370573,RxNorm,amlodipine
19020166,Amlodipine 5 MG / Olmesartan medoxomil 40 MG [Azor],744634,RxNorm,amlodipine
36248703,Amlodipine / Perindopril Oral Product,1600713,RxNorm,amlodipine
40232329,aliskiren / Amlodipine / Hydrochlorothiazide Oral Tablet [Amturnide],1050801,RxNorm,amlodipine
19014769,Amlodipine 10 MG / valsartan 320 MG [Exforge],724885,RxNorm,amlodipine
36217711,Amlodipine / Hydrochlorothiazide / valsartan Pill,1152280,RxNorm,amlodipine
40171553,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule,898350,RxNorm,amlodipine
36242839,Twynsta Oral Product,1186905,RxNorm,amlodipine
40171558,Amlodipine 5 MG / Benazepril hydrochloride 10 MG [Lotrel],898354,RxNorm,amlodipine
36230669,Tekamlo Pill,1180865,RxNorm,amlodipine
974860,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet,848135,RxNorm,amlodipine
40171556,Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule,898353,RxNorm,amlodipine
40171555,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG [Lotrel],898351,RxNorm,amlodipine
974859,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],848134,RxNorm,amlodipine
19128163,Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet [Caduet],750227,RxNorm,amlodipine
1332442,Amlodipine 10 MG Oral Tablet [Norvasc],212575,RxNorm,amlodipine
19073093,Amlodipine 10 MG Oral Tablet,308135,RxNorm,amlodipine
1332527,Amlodipine 5 MG / valsartan 160 MG Oral Tablet,722134,RxNorm,amlodipine
40167848,Amlodipine 10 MG / telmisartan 80 MG [Twynsta],876521,RxNorm,amlodipine
19122209,Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet,597980,RxNorm,amlodipine
45892984,Amlodipine / Perindopril Oral Tablet [Prestalia],1600719,RxNorm,amlodipine
974858,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet,848131,RxNorm,amlodipine
40224179,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],1000005,RxNorm,amlodipine
40232330,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050798,RxNorm,amlodipine
40232344,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG [Amturnide],1050813,RxNorm,amlodipine
19020162,Amlodipine 10 MG / Olmesartan medoxomil 40 MG [Azor],744626,RxNorm,amlodipine
19014767,Amlodipine 10 MG / valsartan 160 MG [Exforge],724877,RxNorm,amlodipine
36235220,Amturnide Oral Product,1174206,RxNorm,amlodipine
36231601,Lotrel Pill,1180909,RxNorm,amlodipine
19128151,Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet [Caduet],750203,RxNorm,amlodipine
40226372,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet,1009247,RxNorm,amlodipine
19048140,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG [Exforge HCT],848142,RxNorm,amlodipine
19014793,Amlodipine 5 MG / valsartan 320 MG [Exforge],724893,RxNorm,amlodipine
40232339,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050809,RxNorm,amlodipine
1332448,Amlodipine 10 MG,329526,RxNorm,amlodipine
19061252,Amlodipine 2.5 MG / benazepril 5 MG Oral Capsule,248267,RxNorm,amlodipine
40232337,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],1050808,RxNorm,amlodipine
1361521,Amlodipine 1 MG/ML [Katerzia],2184122,RxNorm,amlodipine
40232333,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050803,RxNorm,amlodipine
19127434,Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet,730872,RxNorm,amlodipine
40232336,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet,1050806,RxNorm,amlodipine
36217710,Amlodipine / Hydrochlorothiazide / valsartan Oral Product,1152279,RxNorm,amlodipine
40008942,Amlodipine / benazepril Oral Capsule,371002,RxNorm,amlodipine
36234457,Caduet Pill,1170826,RxNorm,amlodipine
19127433,Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet,730869,RxNorm,amlodipine
1361519,Amlodipine 1 MG/ML Oral Suspension,2184120,RxNorm,amlodipine
1332418,Amlodipine,17767,RxNorm,amlodipine
19048138,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG [Exforge HCT],848137,RxNorm,amlodipine
1361516,Amlodipine 1 MG/ML,2184117,RxNorm,amlodipine
40171564,Amlodipine 5 MG / Benazepril hydrochloride 40 MG [Lotrel],898360,RxNorm,amlodipine
36217723,Amlodipine Pill,1152292,RxNorm,amlodipine
1312779,Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor],744636,RxNorm,amlodipine
1332525,Amlodipine 10 MG / valsartan 160 MG Oral Tablet,722126,RxNorm,amlodipine
19102566,Amlodipine 5 MG / atorvastatin 80 MG Oral Tablet,404011,RxNorm,amlodipine
36217715,Amlodipine / benazepril Pill,1152284,RxNorm,amlodipine
19127561,Amlodipine 5 MG / Olmesartan medoxomil 20 MG [Azor],744630,RxNorm,amlodipine
40232338,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG [Amturnide],1050807,RxNorm,amlodipine
19128168,Amlodipine 5 MG / atorvastatin 80 MG [Caduet],750237,RxNorm,amlodipine
40232328,aliskiren / Amlodipine / Hydrochlorothiazide Oral Tablet,1050796,RxNorm,amlodipine
